Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Netherlands,0.27,0.27,0.29,0.35,0.34,0.37,0.34,0.34,0.34,0.36,0.37,0.36,0.35,0.36,0.31,0.32,0.35,0.35,0.36,0.35,0.34,0.32,0.35,0.33,0.31,0.32,0.31,0.34,0.34,0.38,0.46,0.43,0.39,0.35,0.27,0.17,0.23,0.23
North Macedonia,-,-,-,-,-,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03
Norway,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03
Poland,4.18,4.29,4.44,4.32,4.13,3.28,3.25,3.14,3.11,2.90,2.94,3.01,2.94,2.65,2.54,2.35,2.33,2.28,2.35,2.28,2.31,2.40,2.34,2.31,2.17,2.31,2.30,2.14,2.23,2.07,2.04,2.07,2.08,2.09,1.86,1.72,1.90,1.81
Portugal,0.03,0.06,0.08,0.09,0.10,0.12,0.12,0.13,0.14,0.14,0.18,0.16,0.15,0.15,0.16,0.16,0.13,0.15,0.14,0.14,0.14,0.14,0.12,0.11,0.12,0.07,0.09,0.12,0.11,0.11,0.14,0.12,0.14,0.11,0.05,0.02,0.01,^
Romania,0.62,0.63,0.68,0.73,0.73,0.53,0.44,0.43,0.43,0.43,0.44,0.44,0.40,0.34,0.29,0.31,0.32,0.34,0.38,0.38,0.36,0.41,0.41,0.40,0.32,0.29,0.34,0.32,0.25,0.24,0.25,0.22,0.23,0.21,0.21,0.15,0.17,0.17
Slovakia,0.35,0.33,0.34,0.36,0.35,0.33,0.29,0.26,0.26,0.23,0.23,0.22,0.21,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.11,0.10,0.12,0.11
Slovenia,-,-,-,-,-,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03
Spain,0.75,0.78,0.76,0.66,0.81,0.80,0.84,0.85,0.77,0.79,0.79,0.67,0.77,0.73,0.82,0.88,0.80,0.90,0.84,0.88,0.86,0.75,0.84,0.57,0.39,0.29,0.54,0.65,0.48,0.49,0.57,0.44,0.56,0.48,0.21,0.12,0.13,0.17
Sweden,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.08,0.12,0.10,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07
